City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Tezu,IN,27.9167,96.1667,74.21,34,45,1.48,scattered clouds
1,Kamaishi,JP,39.2667,141.8833,50.95,51,35,9.69,scattered clouds
2,Mataura,NZ,-46.1927,168.8643,62.47,45,93,6.98,overcast clouds
3,Hobart,AU,-42.8794,147.3294,83.01,35,20,3.0,few clouds
4,Kulachi,PK,31.9286,70.4592,64.15,24,99,5.82,overcast clouds
5,Mwanza,TZ,-2.5167,32.9,69.89,79,98,6.26,light rain
6,Hami,CN,42.8,93.45,26.49,52,23,2.44,few clouds
7,Manggar,ID,-2.8833,108.2667,85.75,63,79,0.54,broken clouds
8,Punta Arenas,CL,-53.15,-70.9167,46.51,76,40,10.36,scattered clouds
9,Katherine,AU,-14.4667,132.2667,100.72,19,40,13.8,scattered clouds
10,Upata,VE,8.0086,-62.3989,74.19,95,93,4.29,overcast clouds
11,Atherton,GB,53.5237,-2.4935,51.15,97,100,15.73,light rain
12,Bambous Virieux,MU,-20.3428,57.7575,82.22,68,11,8.81,few clouds
13,Uong Bi,VN,21.0333,106.7833,73.38,47,30,9.75,scattered clouds
14,Port Alfred,ZA,-33.5906,26.891,66.29,90,100,11.92,light rain
15,Dikson,RU,73.5069,80.5464,-12.96,96,100,13.62,light snow
16,Busselton,AU,-33.65,115.3333,65.05,44,69,8.81,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,76.44,78,6,21.05,light rain
18,Hasaki,JP,35.7333,140.8333,61.29,62,94,20.6,overcast clouds
19,Port Blair,IN,11.6667,92.75,83.79,71,60,12.12,broken clouds
20,Shimoda,JP,34.6667,138.95,64.76,58,75,12.21,broken clouds
21,Thompson,CA,55.7435,-97.8558,21.36,79,90,16.11,overcast clouds
22,Bilibino,RU,68.0546,166.4372,-11.88,99,83,4.36,broken clouds
23,Saskylakh,RU,71.9167,114.0833,-28.34,100,89,4.56,overcast clouds
24,Qaanaaq,GL,77.484,-69.3632,10.38,61,100,3.53,overcast clouds
25,Albany,US,42.6001,-73.9662,27.27,79,4,5.86,clear sky
26,Ushuaia,AR,-54.8,-68.3,42.46,70,75,25.32,light intensity drizzle
27,Gawler,AU,-34.6,138.7333,93.83,22,33,9.08,scattered clouds
28,Airai,TL,-8.9266,125.4092,76.44,50,52,2.13,broken clouds
29,Faanui,PF,-16.4833,-151.75,80.87,76,100,15.7,light rain
30,Castro,BR,-24.7911,-50.0119,62.24,89,64,3.38,broken clouds
31,Patan,NP,27.6667,85.3333,52.18,87,20,0.0,mist
32,Barrow,US,71.2906,-156.7887,-18.38,69,1,8.05,clear sky
33,Severo-Kurilsk,RU,50.6789,156.125,31.8,64,96,27.85,overcast clouds
34,Avarua,CK,-21.2078,-159.775,78.85,61,20,11.5,few clouds
35,Atuona,PF,-9.8,-139.0333,79.0,76,3,22.08,clear sky
36,Cap-Chat,CA,49.1001,-66.6821,26.6,86,100,6.91,overcast clouds
37,Alyangula,AU,-13.8483,136.4192,88.72,58,29,3.71,scattered clouds
38,Pimenteiras,BR,-6.2453,-41.4192,77.58,53,65,1.63,broken clouds
39,Souillac,MU,-20.5167,57.5167,82.36,66,0,7.85,clear sky
40,Vaini,TO,-21.2,-175.2,84.36,89,20,10.36,few clouds
41,Oussouye,SN,12.485,-16.5469,71.78,33,100,7.25,overcast clouds
42,Mount Gambier,AU,-37.8333,140.7667,86.22,20,80,7.0,broken clouds
43,Port Macquarie,AU,-31.4333,152.9167,70.9,73,100,10.0,moderate rain
44,Aquiraz,BR,-3.9014,-38.3911,84.22,70,47,11.27,scattered clouds
45,Baiyin,CN,36.5583,104.2081,29.28,37,0,2.04,clear sky
46,Skeldon,GY,5.8833,-57.1333,75.72,91,58,3.85,broken clouds
47,Ribeira Grande,PT,38.5167,-28.7,61.65,65,10,10.0,clear sky
48,Victoria,HK,22.2855,114.1577,76.17,57,0,3.0,clear sky
49,Tuktoyaktuk,CA,69.4541,-133.0374,-18.78,99,97,10.65,overcast clouds
50,Sao Filipe,CV,14.8961,-24.4956,74.73,70,100,13.11,overcast clouds
51,Carutapera,BR,-1.195,-46.02,77.22,90,47,6.15,scattered clouds
52,Hilo,US,19.7297,-155.09,74.12,79,7,2.46,clear sky
53,Haines Junction,CA,60.7522,-137.5108,-2.11,100,100,0.56,overcast clouds
54,Kapaa,US,22.0752,-159.319,80.58,79,75,5.01,light rain
55,Bluff,NZ,-46.6,168.3333,62.8,75,93,8.66,overcast clouds
56,Mehamn,NO,71.0357,27.8492,16.88,87,57,17.52,broken clouds
57,Jamestown,US,42.097,-79.2353,33.39,93,90,6.91,overcast clouds
58,Vardo,NO,70.3705,31.1107,22.86,82,98,25.68,overcast clouds
59,Vero Beach,US,27.6386,-80.3973,64.98,79,1,0.0,clear sky
60,Chokurdakh,RU,70.6333,147.9167,-13.74,99,100,4.03,overcast clouds
61,Yulara,AU,-25.2406,130.9889,94.84,10,0,13.8,clear sky
62,Nome,US,64.5011,-165.4064,-7.53,54,1,8.05,clear sky
63,Iquique,CL,-20.2208,-70.1431,66.24,72,6,0.85,clear sky
64,Avera,US,33.194,-82.5271,42.67,42,27,5.84,scattered clouds
65,Ponta Do Sol,PT,32.6667,-17.1,62.71,68,57,3.38,broken clouds
66,East London,ZA,-33.0153,27.9116,66.2,92,100,7.38,light rain
67,Marialva,BR,-23.485,-51.7917,75.83,90,56,2.59,broken clouds
68,Cochrane,CA,51.1834,-114.4687,39.06,38,75,18.41,broken clouds
69,Klaksvik,FO,62.2266,-6.589,34.72,58,100,6.2,overcast clouds
70,Vredendal,ZA,-31.6683,18.5012,59.5,89,75,4.0,broken clouds
71,Sakakah,SA,29.9697,40.2064,59.16,39,20,2.04,few clouds
72,Cape Town,ZA,-33.9258,18.4232,63.09,86,90,5.75,light rain
73,Jyvaskyla,FI,62.2415,25.7209,20.35,86,90,10.36,light snow
74,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,67,7.0,broken clouds
75,Guerrero Negro,MX,27.9769,-114.0611,64.98,73,0,9.53,clear sky
76,Khargapur,IN,24.823,79.144,65.05,48,100,1.25,overcast clouds
77,Kalmunai,LK,7.4167,81.8167,80.74,77,97,4.61,overcast clouds
78,Nanfeng,CN,23.7434,111.7959,66.65,47,13,7.7,few clouds
79,Dalvik,IS,65.9702,-18.5286,22.93,89,100,3.74,light snow
80,Salalah,OM,17.0151,54.0924,77.09,19,0,11.5,clear sky
81,Lompoc,US,34.6391,-120.4579,63.93,91,1,4.61,mist
82,Cherskiy,RU,68.75,161.3,-11.92,99,100,4.34,light snow
83,Mounana,GA,-1.4085,13.1586,68.36,98,100,1.95,overcast clouds
84,New Norfolk,AU,-42.7826,147.0587,82.65,27,4,3.0,clear sky
85,Mahebourg,MU,-20.4081,57.7,82.26,68,5,8.57,clear sky
86,Rundu,NA,-17.9333,19.7667,67.32,76,99,4.54,overcast clouds
87,Pavilosta,LV,56.8879,21.1859,35.55,60,100,21.63,overcast clouds
88,Bolitoc,PH,15.7395,119.8769,86.22,69,80,4.85,broken clouds
89,Galesong,ID,-5.3166,119.3661,87.82,68,89,0.38,overcast clouds
90,Puerto Escondido,MX,15.85,-97.0667,77.83,73,1,0.0,clear sky
91,Tallahassee,US,30.4383,-84.2807,49.64,72,1,0.0,clear sky
92,Hermanus,ZA,-34.4187,19.2345,60.91,85,84,8.37,light rain
93,Mar Del Plata,AR,-38.0023,-57.5575,57.87,90,7,11.99,clear sky
94,Cortez,US,37.3489,-108.5859,50.41,64,1,6.91,clear sky
95,Jind,IN,29.3167,76.3167,61.03,38,66,6.02,broken clouds
96,Talcahuano,CL,-36.7167,-73.1167,55.08,76,0,8.05,clear sky
97,Provideniya,RU,64.3833,-173.3,-4.65,65,2,11.18,clear sky
98,Manadhoo,MV,5.7667,73.3833,81.59,77,100,14.88,moderate rain
99,Goderich,CA,43.7501,-81.7165,32.92,74,100,5.75,overcast clouds
100,San Mateo Ixtatan,GT,15.8319,-91.4781,45.95,87,25,5.46,scattered clouds
101,Charters Towers,AU,-20.1,146.2667,85.39,52,100,7.54,light rain
102,Bredasdorp,ZA,-34.5322,20.0403,58.28,82,20,5.48,light rain
103,Lorengau,PG,-2.0226,147.2712,85.21,71,100,9.8,overcast clouds
104,Hithadhoo,MV,-0.6,73.0833,81.73,77,58,11.36,broken clouds
105,Butaritari,KI,3.0707,172.7902,81.07,80,66,9.73,light rain
106,Urumqi,CN,43.801,87.6005,11.35,85,2,2.24,mist
107,Tuatapere,NZ,-46.1333,167.6833,62.82,66,85,8.08,overcast clouds
108,San Policarpo,PH,12.1791,125.5072,84.38,73,100,5.88,overcast clouds
109,Geraldton,AU,-28.7667,114.6,76.12,50,40,17.27,scattered clouds
110,Berck,FR,50.4,1.6,49.98,81,90,12.66,overcast clouds
111,Vao,NC,-22.6667,167.4833,76.91,88,8,14.65,clear sky
112,Ariquemes,BR,-9.9133,-63.0408,72.9,95,35,0.56,scattered clouds
113,Ondjiva,AO,-17.0667,15.7333,67.53,71,16,2.64,few clouds
114,Nampula,MZ,-15.1165,39.2666,68.76,85,4,2.26,clear sky
115,Okhotsk,RU,59.3833,143.3,-8.97,88,19,17.16,few clouds
116,Necochea,AR,-38.5473,-58.7368,56.03,78,0,11.81,clear sky
117,Paita,PE,-5.0892,-81.1144,66.13,83,100,12.84,overcast clouds
118,Namibe,AO,-15.1961,12.1522,69.89,72,12,4.07,few clouds
119,Flinders,AU,-34.5833,150.8552,77.05,73,100,11.83,overcast clouds
120,Mobaye,CF,4.319,21.1786,70.03,90,100,2.35,light rain
121,Kodiak,US,57.79,-152.4072,31.51,86,90,17.27,snow
122,Sechura,PE,-5.5569,-80.8222,67.37,78,100,13.58,overcast clouds
123,Torbay,CA,47.6666,-52.7314,46.76,97,90,14.97,fog
124,Jumla,NP,29.2747,82.1838,53.06,16,100,2.59,overcast clouds
125,Sharjah,AE,25.3573,55.4033,75.18,64,20,1.14,few clouds
126,Palmer,US,42.1584,-72.3287,30.81,69,75,5.75,broken clouds
127,Norman Wells,CA,65.282,-126.8329,-32.76,68,20,4.61,few clouds
128,Shanghai,CN,31.2222,121.4581,53.92,55,40,4.0,scattered clouds
129,Bethel,US,41.3712,-73.414,33.01,74,1,0.0,clear sky
130,Dickinson,US,29.4608,-95.0513,60.94,90,1,1.01,clear sky
131,Tasiilaq,GL,65.6145,-37.6368,23.16,92,92,4.72,overcast clouds
132,Walvis Bay,NA,-22.9575,14.5053,59.09,94,0,3.44,clear sky
133,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.16,99,100,1.39,overcast clouds
134,Sokolov,CZ,50.1813,12.6401,33.82,82,90,10.36,overcast clouds
135,Dhadar,IN,28.3305,75.0632,64.56,30,94,3.38,overcast clouds
136,Yellowknife,CA,62.456,-114.3525,-18.58,86,7,3.0,clear sky
137,Herat,AF,34.5,62.0,48.49,48,9,4.38,clear sky
138,Grand Gaube,MU,-20.0064,57.6608,82.38,63,9,3.0,clear sky
139,Aklavik,CA,68.2191,-135.0107,-22.97,97,93,3.58,overcast clouds
140,Coihaique,CL,-45.5752,-72.0662,48.81,76,0,3.44,clear sky
141,Khatanga,RU,71.9667,102.5,-32.78,100,92,3.65,overcast clouds
142,Nyuksenitsa,RU,60.4128,44.2397,24.58,91,100,12.91,overcast clouds
143,Carnarvon,AU,-24.8667,113.6333,77.07,61,0,23.02,clear sky
144,Durango,MX,24.8333,-104.8333,55.65,57,93,3.0,overcast clouds
145,Sapouy,BF,11.5544,-1.7736,71.74,18,85,6.04,overcast clouds
146,Axim,GH,4.8699,-2.2405,78.85,86,69,6.6,light rain
147,Mackay,AU,-21.15,149.2,86.68,65,13,7.72,few clouds
148,San Ramon,US,37.7799,-121.978,61.52,80,1,4.61,clear sky
149,Dire,ML,12.2833,-10.9667,72.03,29,86,1.83,overcast clouds
150,Arraial Do Cabo,BR,-22.9661,-42.0278,74.3,91,7,22.59,clear sky
151,Altay,CN,47.8667,88.1167,20.57,63,6,6.51,clear sky
152,Cabedelo,BR,-6.9811,-34.8339,79.47,80,78,10.6,broken clouds
153,San Rafael,AR,-34.6177,-68.3301,72.54,29,4,5.17,clear sky
154,Hay River,CA,60.8156,-115.7999,-14.82,76,20,2.3,few clouds
155,Haizhou,CN,34.5817,119.1289,47.89,44,6,17.43,clear sky
156,Gillette,US,44.2911,-105.5022,47.68,63,20,1.01,few clouds
157,Hurghada,EG,27.2574,33.8129,73.02,37,75,2.04,broken clouds
158,Kununurra,AU,-15.7667,128.7333,100.38,23,2,5.75,clear sky
159,Belaya Gora,RU,68.5333,146.4167,-10.34,99,100,4.92,overcast clouds
160,Port Augusta,AU,-32.5,137.7667,91.71,16,54,2.35,broken clouds
161,Isangel,VU,-19.55,169.2667,86.11,70,75,5.75,broken clouds
162,Mount Abu,IN,24.6,72.7,60.21,47,100,3.27,overcast clouds
163,Nicoya,CR,10.1483,-85.452,76.55,75,100,14.81,overcast clouds
164,Kaitangata,NZ,-46.2817,169.8464,61.93,71,98,10.25,overcast clouds
165,Husavik,IS,66.0449,-17.3389,22.91,89,100,8.5,overcast clouds
166,Chuy,UY,-33.6971,-53.4616,64.85,89,100,17.38,overcast clouds
167,Maryville,US,35.7565,-83.9705,38.68,58,1,1.99,clear sky
168,Chifeng,CN,42.2683,118.9636,24.62,36,2,22.24,clear sky
169,Uinskoye,RU,56.8817,56.5813,33.69,83,100,13.04,overcast clouds
170,Longyearbyen,SJ,78.2186,15.6401,12.04,62,20,18.41,few clouds
171,Tarauaca,BR,-8.1614,-70.7656,72.86,99,100,4.14,overcast clouds
172,Zhangjiakou,CN,40.81,114.8794,22.93,46,5,17.74,clear sky
173,Fort Nelson,CA,58.8053,-122.7002,2.79,85,90,3.44,overcast clouds
174,Amga,RU,60.8953,131.9608,-7.78,95,99,1.99,overcast clouds
175,Cockburn Town,TC,21.4612,-71.1419,79.34,73,98,11.39,overcast clouds
176,Luderitz,NA,-26.6481,15.1594,59.34,82,4,11.25,clear sky
177,Fairbanks,US,64.8378,-147.7164,-12.41,75,1,0.0,haze
178,Fortuna,US,40.5982,-124.1573,49.98,69,62,3.94,broken clouds
179,Torres,BR,-29.3353,-49.7269,70.83,72,0,6.67,clear sky
180,Omboue,GA,-1.5746,9.2618,76.66,91,95,6.98,moderate rain
181,Port Hardy,CA,50.6996,-127.4199,48.2,100,90,4.61,light rain
182,Coquimbo,CL,-29.9533,-71.3436,58.73,82,90,4.61,overcast clouds
183,Dalby,AU,-27.1833,151.2667,67.98,95,100,3.0,moderate rain
184,Karratha,AU,-20.7377,116.8463,95.77,34,0,13.33,clear sky
185,San Patricio,US,28.017,-97.5169,60.64,71,99,6.8,overcast clouds
186,Oranjemund,NA,-28.55,16.4333,60.3,93,6,5.99,clear sky
187,Loandjili,CG,-4.7561,11.8578,75.31,100,40,3.44,thunderstorm
188,Bandarbeyla,SO,9.4942,50.8122,75.81,74,8,16.91,clear sky
189,Sitka,US,57.0531,-135.33,39.09,81,90,12.66,light rain
190,Acajutla,SV,13.5928,-89.8275,78.06,61,0,8.61,clear sky
191,Tynda,RU,55.1667,124.7167,-0.9,81,84,2.01,broken clouds
192,Nanortalik,GL,60.1432,-45.2371,33.6,98,100,12.77,light rain
193,Abbeville,FR,50.1,1.8333,49.96,87,100,16.17,light rain
194,Nikolskoye,RU,59.7035,30.7861,26.4,96,100,7.63,snow
195,Dakar,SN,14.6937,-17.4441,68.88,64,100,21.9,overcast clouds
196,Tura,IN,25.5198,90.2201,70.47,57,67,0.85,broken clouds
197,Saint-Philippe,RE,-21.3585,55.7679,77.49,81,47,8.19,scattered clouds
198,Babol,IR,36.5513,52.679,56.64,48,0,4.61,clear sky
199,Nemuro,JP,43.3236,145.575,50.43,82,15,6.93,few clouds
200,Gizo,SB,-8.103,156.8419,85.33,71,77,9.91,light rain
201,Havelock,US,34.8791,-76.9013,44.55,66,7,3.31,clear sky
202,Champerico,GT,14.3,-91.9167,80.35,69,1,2.8,clear sky
203,Pangnirtung,CA,66.1451,-65.7125,17.35,90,99,3.6,overcast clouds
204,San Antonio,US,29.4241,-98.4936,61.32,68,1,0.0,clear sky
205,Vanavara,RU,60.34,102.2797,-2.0,97,100,4.9,light snow
206,Saint George,US,37.1041,-113.5841,60.53,37,1,0.0,clear sky
207,San Miguel,SV,13.4833,-88.1833,72.28,74,4,3.98,clear sky
208,Cartagena,CO,10.3997,-75.5144,82.02,89,0,3.44,clear sky
209,Sao Jose Do Calcado,BR,-21.0253,-41.6544,70.93,91,21,4.81,few clouds
210,Changping,CN,40.2186,116.2197,38.84,24,0,14.09,clear sky
211,Faya,SA,18.3851,42.4509,46.92,49,0,6.85,clear sky
212,Shache,CN,38.4167,77.2406,29.53,38,29,1.68,scattered clouds
213,Cururupu,BR,-1.8283,-44.8683,76.05,93,43,3.02,scattered clouds
214,Price,US,39.5994,-110.8107,44.4,52,1,6.91,clear sky
215,Carupano,VE,10.6678,-63.2585,77.2,88,90,10.85,overcast clouds
216,Severo-Yeniseyskiy,RU,60.3725,93.0408,13.91,88,100,15.84,overcast clouds
217,Wajima,JP,37.4,136.9,59.68,35,75,8.05,broken clouds
218,Kawalu,ID,-7.3817,108.2082,84.94,57,55,3.38,broken clouds
219,La Ronge,CA,55.1001,-105.2842,19.65,68,1,8.05,clear sky
220,Mayen,DE,50.3333,7.2167,38.68,86,100,15.52,light rain
221,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,66,0,9.22,clear sky
222,Barkhan,PK,29.8977,69.5256,53.19,38,11,2.89,few clouds
223,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,88,75,7.56,broken clouds
224,Lebu,CL,-37.6167,-73.65,53.67,87,87,17.11,overcast clouds
225,Mexico,PH,15.0646,120.7198,87.87,70,100,2.35,overcast clouds
226,Kargasok,RU,59.0556,80.8572,18.7,85,96,11.36,overcast clouds
227,Kavaratti,IN,10.5669,72.642,81.41,77,100,18.19,overcast clouds
228,Pak Thong Chai,TH,14.7226,102.0251,77.25,65,97,11.54,overcast clouds
229,Huarmey,PE,-10.0681,-78.1522,66.87,84,82,7.99,broken clouds
230,Kutum,SD,14.2,24.6667,66.67,48,5,8.12,clear sky
231,Saint-Pierre,RE,-21.3393,55.4781,79.57,69,0,6.91,clear sky
232,Batangafo,CF,7.3008,18.2833,71.91,50,21,3.94,few clouds
233,Ilulissat,GL,69.2167,-51.1,30.22,93,75,4.61,light snow
234,Portland,US,45.5234,-122.6762,56.95,95,20,4.61,few clouds
235,Amazar,RU,53.858,120.875,5.29,72,76,1.52,broken clouds
236,Maniitsoq,GL,65.4167,-52.9,32.4,95,100,15.79,snow
237,Mandera,KE,3.9366,41.867,75.72,82,13,7.0,few clouds
238,Westport,US,41.1415,-73.3579,35.74,73,1,1.99,clear sky
239,Clyde River,CA,70.4692,-68.5914,1.63,78,100,9.22,overcast clouds
240,Blessington,IE,53.17,-6.5325,48.69,95,90,18.41,light intensity drizzle
241,Okitipupa,NG,6.5047,4.7839,74.1,96,43,0.67,moderate rain
242,Enshi,CN,30.3,109.4833,52.65,64,1,1.16,clear sky
243,Beringovskiy,RU,63.05,179.3167,5.04,96,96,6.42,overcast clouds
244,Makokou,GA,0.5738,12.8642,69.21,99,100,0.2,light rain
245,Bocana De Paiwas,NI,12.7857,-85.1227,71.71,84,100,11.83,overcast clouds
246,Olafsvik,IS,64.8945,-23.7142,31.32,91,100,10.49,light snow
247,Sindor,RU,62.8629,51.8905,2.19,94,99,8.63,overcast clouds
248,Khanpur,PK,28.6453,70.6567,66.38,27,0,3.02,clear sky
249,Ahipara,NZ,-35.1667,173.1667,70.16,64,38,7.78,scattered clouds
250,Coffs Harbour,AU,-30.3,153.1333,73.13,88,40,5.75,light intensity shower rain
251,Fort Walton Beach,US,30.4058,-86.6188,53.04,66,1,1.99,clear sky
252,Talnakh,RU,69.4865,88.3972,-8.23,92,100,2.33,overcast clouds
253,Tottori,JP,35.5,134.2333,64.47,55,75,14.97,broken clouds
254,Namtsy,RU,62.7161,129.6658,-21.89,98,99,1.21,overcast clouds
255,Louga,RU,58.7372,29.8453,24.98,96,100,8.19,light snow
256,Srednekolymsk,RU,67.45,153.6833,-19.17,98,100,6.51,overcast clouds
257,Cochabamba,BO,-17.3895,-66.1568,64.2,65,20,8.05,few clouds
258,Tamra,IL,32.8486,35.2047,70.56,40,84,10.29,broken clouds
259,Inuvik,CA,68.3499,-133.7218,-22.94,76,1,3.44,clear sky
260,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,76.08,86,99,2.8,overcast clouds
261,Keelung,TW,25.1283,121.7419,76.89,89,72,11.95,broken clouds
262,Kahului,US,20.8947,-156.47,78.82,77,40,13.8,scattered clouds
263,Cidreira,BR,-30.1811,-50.2056,70.65,69,27,12.93,scattered clouds
264,Iwanai,JP,42.9744,140.5089,47.73,79,100,4.54,overcast clouds
265,Nizwa,OM,22.9333,57.5333,62.98,73,0,1.95,clear sky
266,Padang,ID,-0.9492,100.3543,84.25,71,96,4.27,moderate rain
267,Pisco,PE,-13.7,-76.2167,64.45,82,0,12.66,clear sky
268,Svetlogorsk,BY,52.6333,29.7333,31.23,90,98,20.47,light snow
269,Puerto Gaitan,CO,4.3133,-72.0816,78.22,80,100,7.29,overcast clouds
270,Kendari,ID,-3.945,122.4989,86.97,63,100,1.14,overcast clouds
271,Bumba,CD,2.1833,22.4667,70.43,97,100,2.98,light rain
272,Pevek,RU,69.7008,170.3133,-8.63,99,69,4.09,broken clouds
273,Manacor,ES,39.5696,3.2096,53.33,68,50,10.38,scattered clouds
274,Wladyslawowo,PL,54.7909,18.4009,31.93,63,86,15.61,overcast clouds
275,Okato,NZ,-39.2,173.8833,66.42,81,97,7.2,light rain
276,Russell,US,32.3502,-85.1999,40.6,59,1,0.0,clear sky
277,Komsomolskiy,UZ,40.4272,71.7189,35.02,74,100,4.61,mist
278,Tacuarembo,UY,-31.7333,-55.9833,59.49,80,3,6.89,clear sky
279,Mogadishu,SO,2.0371,45.3438,78.49,74,13,13.73,few clouds
280,Hofn,IS,64.2539,-15.2082,28.78,87,100,8.59,light snow
281,Ahuimanu,US,21.4447,-157.8378,80.31,66,1,12.66,clear sky
282,Haverfordwest,GB,51.8017,-4.9691,52.16,87,98,5.01,overcast clouds
283,Itarema,BR,-2.9248,-39.9167,80.6,78,41,13.65,scattered clouds
284,Chivay,PE,-15.6383,-71.6011,49.41,33,100,2.44,overcast clouds
285,Sinnamary,GF,5.3833,-52.95,77.31,90,52,7.29,broken clouds
286,Port Lincoln,AU,-34.7333,135.8667,81.36,38,93,8.19,overcast clouds
287,Khasan,RU,42.4308,130.6434,33.37,97,100,12.08,heavy snow
288,Iqaluit,CA,63.7506,-68.5145,11.93,78,90,13.0,light snow
289,Bonanza,NI,14.0289,-84.591,70.09,89,100,4.41,overcast clouds
290,Jiuquan,CN,39.7432,98.5174,28.98,28,93,3.24,overcast clouds
291,Bundaberg,AU,-24.85,152.35,83.21,75,75,7.0,broken clouds
292,Gat,IL,31.61,34.7642,78.78,23,40,9.15,scattered clouds
293,Kodinsk,RU,58.6881,99.1844,15.51,96,100,5.28,overcast clouds
294,Dingle,PH,10.9995,122.6711,86.13,70,100,8.25,overcast clouds
295,Kavieng,PG,-2.5744,150.7967,85.5,66,93,14.38,overcast clouds
296,Georgetown,MY,5.4112,100.3354,84.15,77,20,1.99,few clouds
297,Lisakovsk,KZ,52.5369,62.4936,13.93,87,17,6.89,few clouds
298,Trat,TH,12.5,102.5,80.98,83,100,10.27,light rain
299,Pacific Grove,US,36.6177,-121.9166,64.63,91,1,3.0,clear sky
300,Zheleznodorozhnyy,RU,55.7503,38.0042,46.62,89,100,15.75,overcast clouds
301,Ossora,RU,59.2353,163.0719,13.91,81,100,4.23,overcast clouds
302,Cankuzo,BI,-3.1333,30.5833,56.89,97,100,1.45,light rain
303,Katangli,RU,51.7102,143.2326,19.76,70,100,8.39,overcast clouds
304,Port Hedland,AU,-20.3167,118.5667,95.05,52,0,16.11,clear sky
305,Hohhot,CN,40.8106,111.6522,23.29,46,0,2.24,clear sky
306,Biak,ID,-0.9131,122.8766,80.38,74,99,0.96,overcast clouds
307,Yumen,CN,40.2833,97.2,22.26,54,55,14.85,broken clouds
308,Daru,PG,-9.0763,143.2092,85.15,74,94,7.14,overcast clouds
309,Camacha,PT,33.0833,-16.3333,58.42,72,40,9.22,scattered clouds
310,Christchurch,NZ,-43.5333,172.6333,70.03,64,75,5.01,broken clouds
311,Sabzevar,IR,36.2126,57.6819,36.68,60,0,6.91,clear sky
312,Alice Springs,AU,-23.7,133.8833,90.95,15,0,10.36,clear sky
313,Mut,TR,36.6439,33.4389,60.64,62,82,6.31,broken clouds
314,Demba,CD,-5.51,22.2667,67.6,93,100,1.66,overcast clouds
315,Vilyuysk,RU,63.7553,121.6247,-8.66,97,100,2.48,overcast clouds
316,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.79,94,91,14.14,overcast clouds
317,Coahuayana,MX,18.7333,-103.6833,73.63,77,34,3.67,scattered clouds
318,Lata,PT,40.1629,-8.3327,49.82,87,61,2.71,broken clouds
319,Celestun,MX,20.8667,-90.4,75.0,80,24,12.68,few clouds
320,Maxixe,MZ,-23.8597,35.3472,73.22,78,40,6.91,scattered clouds
321,Botwood,CA,49.1499,-55.3482,45.9,78,100,14.56,overcast clouds
322,Hovd,MN,48.0056,91.6419,18.61,40,5,0.51,clear sky
323,Bengkulu,ID,-3.8004,102.2655,77.7,80,100,11.18,overcast clouds
324,Yerbogachen,RU,61.2767,108.0108,-13.7,97,77,4.45,broken clouds
325,Livingston,GB,55.9029,-3.5226,49.12,89,0,9.22,clear sky
326,Pyinmana,MM,19.7333,96.2167,76.33,68,100,4.0,overcast clouds
327,Callaway,US,30.153,-85.5699,51.91,55,1,1.01,clear sky
328,Rocha,UY,-34.4833,-54.3333,63.1,94,99,18.75,overcast clouds
329,Dunedin,NZ,-45.8742,170.5036,61.12,70,99,8.23,overcast clouds
330,Sisimiut,GL,66.9395,-53.6735,31.55,80,100,10.33,overcast clouds
